Rating,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,hourly,employer_provided,job_state,same_state,age,python,r,sas,spark,aws,sql,excel,matlab,desc_len,level,title,comp,name
3.8,3,71,5,1,2,1,9,53,91,72.0,0,0,24,0,47.0,1,0,1,0,0,0,1,1,2555,2,2,0,293
3.4,99,11,1,6,28,12,5,63,112,87.5,0,0,17,0,36.0,1,0,0,0,0,0,0,0,4828,0,2,0,319
4.8,42,42,5,1,46,5,4,80,90,85.0,0,0,7,1,10.0,1,0,1,1,0,1,1,0,3495,0,2,0,164
3.8,154,149,2,3,17,19,10,56,97,76.5,0,0,35,1,55.0,1,0,0,0,0,0,0,0,3926,0,3,3,216
2.9,122,117,6,1,1,5,12,86,143,114.5,0,0,25,1,22.0,1,0,1,0,0,1,1,0,2748,3,2,3,13
3.4,50,46,3,2,43,20,0,71,119,95.0,0,0,32,1,20.0,1,0,0,0,1,1,1,0,3783,2,2,3,90
4.1,18,11,5,1,5,9,12,54,93,73.5,0,0,17,1,12.0,0,0,0,0,0,0,1,0,1808,3,2,0,77
3.8,164,168,3,1,12,5,6,86,142,114.0,0,0,2,0,15.0,1,0,0,1,1,1,1,0,3847,3,2,0,174
3.3,157,152,1,4,28,12,10,38,84,61.0,0,0,25,1,6.0,0,0,0,0,0,0,0,0,1561,0,4,0,247
4.6,122,117,6,1,34,13,4,120,160,140.0,0,0,25,1,11.0,1,0,0,1,0,0,0,0,4609,3,3,2,4
3.5,164,158,5,1,42,21,0,126,201,163.5,0,0,2,0,9.0,1,0,0,0,0,0,0,0,2789,2,2,0,332
4.1,35,77,4,2,45,5,0,64,106,85.0,0,0,34,0,52.0,0,0,0,0,0,1,0,0,3522,2,3,0,179
3.2,142,16,1,2,15,21,3,106,172,139.0,0,0,32,0,58.0,0,0,0,0,0,1,0,1,3980,3,2,3,329
4.1,173,168,3,1,1,5,12,46,85,65.5,0,0,35,1,8.0,1,0,0,1,1,1,1,0,4942,2,0,0,333
3.7,30,124,1,2,7,4,3,83,144,113.5,0,0,16,0,239.0,1,0,0,1,0,1,0,0,3799,2,2,3,289
3.6,123,118,2,8,41,16,12,102,190,146.0,0,0,23,1,25.0,0,0,0,0,0,0,1,0,1902,3,1,0,30
3.9,30,27,6,2,7,4,1,67,137,102.0,0,0,16,1,9.0,0,0,0,0,0,0,1,0,3676,3,4,3,45
4.3,118,111,3,1,18,13,12,118,189,153.5,0,0,2,1,9.0,1,0,0,1,1,0,1,0,4201,0,2,0,339
4.2,163,158,6,1,18,13,12,110,175,142.5,0,0,2,1,10.0,0,0,0,0,0,1,0,0,3549,2,2,0,207
4.0,53,51,5,5,33,14,10,64,111,87.5,0,0,3,1,105.0,1,0,0,0,0,1,1,0,4434,3,2,0,228
3.2,173,168,3,1,34,13,12,81,130,105.5,0,0,35,1,8.0,1,0,0,1,0,1,0,0,2944,3,2,3,230
3.9,50,111,3,1,32,14,12,73,119,96.0,0,0,32,0,7.0,0,0,0,0,0,0,1,0,6967,3,2,0,147
3.8,40,116,5,1,38,23,12,86,139,112.5,0,0,11,0,25.0,1,0,0,0,1,1,1,0,6472,3,2,0,313
4.3,104,130,6,5,38,23,2,63,105,84.0,0,0,14,0,85.0,1,0,0,0,0,1,1,0,2951,2,2,0,251
4.0,78,104,5,1,18,13,4,109,177,143.0,0,0,34,0,8.0,1,0,0,0,1,0,0,0,3806,2,2,3,205
4.0,30,117,1,2,7,4,3,63,110,86.5,0,0,16,0,171.0,1,0,0,0,1,0,1,1,3728,2,2,0,225
3.5,80,159,2,1,5,9,4,75,124,99.5,0,0,27,0,68.0,1,0,0,1,1,1,1,0,4452,3,2,0,124
3.7,199,195,4,2,33,14,7,34,61,47.5,0,0,16,1,168.0,0,0,0,0,0,0,1,0,4984,2,0,0,303
4.0,73,117,1,2,7,4,3,63,105,84.0,0,0,4,0,171.0,0,0,0,0,1,0,1,0,5057,1,2,0,225
4.8,42,42,5,1,46,5,4,80,90,85.0,0,0,7,1,10.0,1,0,1,1,0,1,1,0,3495,0,2,0,164
3.8,154,149,2,3,17,19,10,56,97,76.5,0,0,35,1,55.0,1,0,0,0,0,0,0,0,3926,0,3,3,216
3.6,55,53,2,1,43,20,10,72,120,96.0,0,0,18,1,23.0,1,0,1,0,0,1,0,0,3376,3,2,0,20
3.8,30,12,1,2,7,4,3,86,143,114.5,0,0,16,0,24.0,1,0,0,0,0,0,0,0,5126,3,2,0,204
3.8,182,176,4,2,53,22,5,93,149,121.0,0,0,2,1,24.0,1,0,0,1,0,1,1,0,2378,2,3,0,161
4.7,86,83,3,1,7,4,12,85,140,112.5,0,0,16,1,46.0,1,0,0,0,0,0,1,0,2187,2,2,3,202
4.2,164,40,3,1,30,13,12,77,135,106.0,0,0,2,0,12.0,1,0,0,0,0,1,1,0,1753,2,0,0,75
3.5,151,144,2,1,10,13,0,82,132,107.0,0,0,2,1,51.0,1,0,0,1,1,0,0,0,5044,3,3,1,111
4.7,197,194,3,1,2,1,4,83,137,110.0,0,0,16,1,10.0,1,0,0,1,0,1,1,0,3736,2,2,0,286
3.5,69,72,4,2,7,4,0,115,180,147.5,0,0,2,0,150.0,1,0,0,0,0,0,1,1,3602,3,2,0,261
3.5,101,94,3,1,33,14,4,74,138,106.0,0,0,25,1,35.0,1,0,0,0,0,1,1,0,1758,2,2,0,168
4.2,163,158,3,1,30,13,9,64,112,88.0,0,0,2,1,12.0,1,0,0,0,1,1,1,0,3079,3,1,3,262
3.6,108,98,0,1,26,11,11,68,129,98.5,0,0,16,0,46.65587044534413,0,0,0,0,0,1,1,0,2042,2,1,0,224
4.2,163,158,6,1,18,13,12,110,175,142.5,0,0,2,1,10.0,0,0,0,0,0,0,0,0,3872,2,3,0,207
3.4,6,171,4,2,14,15,5,52,113,82.5,0,0,23,0,5.0,0,0,0,0,1,0,0,0,3558,3,4,3,106
4.3,40,40,2,2,43,20,5,110,150,130.0,0,0,11,1,27.0,1,0,0,1,0,1,1,0,9165,3,2,3,110
5.0,190,2,7,1,18,13,12,150,160,155.0,0,1,5,0,46.65587044534413,0,0,0,0,1,0,1,0,3239,2,2,0,32
3.7,21,66,1,2,30,13,3,158,211,184.5,0,0,35,0,62.0,1,0,1,0,0,1,1,0,7325,0,2,3,327
3.1,102,125,4,1,18,13,5,20,39,29.5,0,0,3,0,34.0,0,0,0,0,0,0,1,0,3438,3,0,0,158
4.7,19,36,5,1,2,1,4,56,117,86.5,0,0,26,0,21.0,0,0,0,0,0,0,0,0,2730,3,0,3,65
3.7,137,50,1,2,31,15,3,63,99,81.0,0,0,11,0,95.0,0,0,0,0,0,0,0,0,2769,3,0,3,62
3.8,62,62,5,8,1,5,12,68,114,91.0,0,0,7,1,36.0,1,0,0,0,0,1,1,0,2953,3,2,0,335
3.3,26,22,1,1,33,14,3,86,143,114.5,0,0,16,1,108.0,1,0,0,0,0,0,0,0,4277,3,2,3,171
4.6,84,81,2,1,2,1,4,41,95,68.0,0,0,0,1,18.0,1,0,0,0,0,0,1,0,1649,1,0,0,306
3.7,11,196,1,2,32,14,3,86,144,115.0,0,0,25,0,157.0,1,0,0,0,0,1,1,1,4772,3,2,3,284
3.7,162,60,1,2,2,1,3,80,139,109.5,0,0,2,0,81.0,0,0,0,0,0,1,1,0,4495,2,1,0,203
3.5,3,72,4,2,7,4,0,56,95,75.5,0,0,24,0,150.0,1,0,0,0,0,0,1,1,3590,3,2,0,261
4.1,163,165,5,1,18,13,12,120,189,154.5,0,0,2,0,8.0,1,0,0,1,0,0,1,0,4244,3,2,3,201
4.7,159,154,6,1,30,13,12,111,176,143.5,0,0,20,1,4.0,1,0,0,1,0,1,0,0,5065,2,2,2,1
4.1,18,11,5,1,5,9,12,54,93,73.5,0,0,17,1,12.0,0,0,0,0,0,0,1,0,1808,3,2,0,77
3.4,50,46,3,2,43,20,0,71,119,95.0,0,0,32,1,20.0,1,0,0,0,1,1,1,0,3783,2,2,3,90
4.4,41,41,3,8,39,17,12,82,132,107.0,0,0,26,1,135.0,1,0,0,0,1,1,0,0,4852,3,3,0,300
4.3,122,117,3,1,12,5,2,84,146,115.0,0,0,25,1,9.0,1,0,0,1,1,1,0,0,1409,2,2,0,317
3.8,133,128,5,2,22,9,9,107,172,139.5,0,0,2,1,14.0,0,0,1,0,0,1,0,0,2962,3,2,0,40
3.8,154,149,2,3,17,19,10,49,85,67.0,0,0,35,1,55.0,0,0,1,0,0,0,0,0,4991,0,2,3,217
3.8,47,45,1,2,48,21,7,61,109,85.0,0,0,28,1,72.0,1,0,0,0,0,1,0,0,2527,3,2,3,93
2.8,66,67,6,1,7,4,1,88,148,118.0,0,0,16,1,14.0,1,0,0,0,0,1,1,0,1963,2,2,0,39
4.7,14,7,6,1,10,13,6,60,99,79.5,0,0,8,1,17.0,1,0,0,0,0,1,1,0,3123,3,2,0,213
3.1,26,22,3,2,1,5,4,41,72,56.5,0,0,16,1,21.0,1,0,0,0,0,1,0,0,8451,3,2,4,51
3.2,139,34,0,1,49,5,8,96,161,128.5,0,0,28,0,46.65587044534413,1,0,0,1,1,1,0,0,2352,3,3,0,206
4.0,188,128,1,2,10,13,12,65,130,97.5,0,0,35,0,81.0,0,0,0,0,0,0,0,0,2312,2,4,0,146
4.4,85,138,0,1,18,13,12,52,81,66.5,0,0,12,0,5.0,1,0,0,0,0,0,0,0,1902,2,4,0,275
3.6,94,88,1,2,59,5,3,139,220,179.5,0,0,11,1,93.0,1,0,1,0,0,1,1,0,2929,0,2,0,138
2.7,109,157,5,8,45,5,9,50,102,76.0,0,0,20,0,42.0,0,0,0,0,0,0,1,0,2703,2,4,0,104
3.9,37,147,5,1,30,13,4,85,139,112.0,0,0,34,0,10.0,1,0,0,1,0,1,0,0,4501,3,2,3,297
3.1,141,97,2,1,40,17,0,74,122,98.0,0,0,28,0,160.0,1,0,0,0,0,0,0,0,2651,2,3,3,61
4.0,188,128,1,2,10,13,12,99,157,128.0,0,0,35,0,81.0,0,0,0,1,1,1,0,0,4333,3,2,0,146
4.3,118,111,3,1,18,13,12,79,222,150.5,0,0,2,1,9.0,1,0,0,1,1,0,1,0,3437,3,2,0,339
1.9,30,27,6,1,7,4,2,57,118,87.5,0,0,16,1,20.0,0,0,0,0,1,0,0,0,5195,2,3,0,128
3.3,35,77,2,1,2,1,0,83,137,110.0,0,0,34,0,3.0,1,0,0,0,0,0,1,1,3428,3,2,0,223
4.4,164,14,1,1,30,13,10,86,141,113.5,0,0,2,0,25.0,1,0,0,0,0,0,1,0,889,2,3,3,218
